justgiving_id,charity_registration_id,charity_name,charity_url
2850396,519996,Community Integrated Care,https://www.justgiving.com/CommunityIntegratedCare
,1114383,,
185514,1090163,Thera Trust,https://www.justgiving.com/theratrust
2346013,289145,BPAS - British Pregnancy Advisory Service,https://www.justgiving.com/bpas
,313392,,
186609,1061582,Cranstoun,https://www.justgiving.com/cranstoun
,1118542,,
,1076456,,
,1104951,,
,1073332,,
2644326,510842,Birmingham Hippodrome Theatre Trust Ltd,https://www.justgiving.com/birminghamhippodrometheatre
,296375,,
186922,313343,BookTrust,https://www.justgiving.com/booktrust
2925527,1105500,Gresham's,https://www.justgiving.com/greshamssch
,1110286,,
,291489,,
235725,1130473,Avenues Group,https://www.justgiving.com/avenuesgroup
,800066,,
,1126980,,
,312930,,
,802427,,
189142,312826,Royal Academy of Dance,https://www.justgiving.com/royalacademyofdance
,703002,,
,292880,,
107406,1053866,Family Fund,https://www.justgiving.com/FamilyFund
,1033192,,
,272050,,
,1123381,,
,231060,,
,502791,,
,1079576,,
,1121344,,
,294085,,
219875,1111657,Orthopaedic Research UK,https://www.justgiving.com/orthopedic-researchuk
,1015648,,
189417,800529,Outward,https://www.justgiving.com/outward
107088,1053486,Cornwall Care,https://www.justgiving.com/cornwall-care
,209131,,
